Número de discos (n),Tiempo DaC (s),Tiempo DP (s)
1,3.700028173625469e-06,2.299901098012924e-06
2,4.800036549568176e-06,3.00002284348011e-06
3,3.400025889277458e-06,3.200024366378784e-06
4,5.799927748739719e-06,5.400041118264198e-06
5,1.109996810555458e-05,1.0599964298307896e-05
6,2.210005186498165e-05,2.22999369725585e-05
7,5.019991658627987e-05,4.569999873638153e-05
8,9.370001498609781e-05,9.480002336204052e-05
9,0.0001927000703290105,0.00019379996228963137
10,0.0003972999984398484,0.00038079998921602964
11,0.0007718999404460192,0.000824199989438057
12,0.0015972999390214682,0.0016193999908864498
13,0.003364600008353591,0.0032434999011456966
14,0.006497900001704693,0.007040999946184456
15,0.013644500053487718,0.012934200000017881
16,0.025568399927578866,0.024525400018319488
17,0.051053699920885265,0.05179109994787723
18,0.107793900067918,0.11009809991810471
19,0.21514079999178648,0.2189262000611052
20,0.4591239000437781,0.44566349999513477
21,0.9041148000396788,0.9210578000638634
22,1.87869809998665,1.8942134999670088
23,3.7854207000928,3.8167645999928936
24,7.727680399897508,7.933290799963288
25,25.525180299999192,15.931232300004922
26,32.183310299995355,32.371306400047615
27,72.2902215999784,100.89672540000174
28,191.2741412000032,133.6649241000414
29,270.2060308000073,273.27355180005543
30,675.2004188999999,769.33987539995
